id,mstarId,name,isin
84,F00000VCTF,ICICI Prudential Banking and PSU Debt Fund Half Yearly Dividend Payout Option,INF109KA1M62
88,F00000SRZN,IDFC Banking & PSU Debt Fund-Direct Plan- Daily Dividend Reinvestment,INF194KA1JD3
89,F00000Z8D7,IDFC Banking & PSU Debt Fund Direct Dividend Reinvestment,INF194K016G6
90,F00000Z8D8,IDFC Banking & PSU Debt Fund-Direct Plan- Fortnightly Dividend Reinvestment,INF194K010N5
91,F00000PN5K,IDFC Banking & PSU Debt Fund Direct Growth,INF194K015G8
92,F00000Z8D9,IDFC Banking & PSU Debt Fund-Direct Plan- Monthly Dividend Reinvestment,INF194K011N3
93,F00000T5DH,IDFC Banking & PSU Debt Fund-Direct Plan- Quarterly Dividend Payout,INF194K018M0
94,F00000T3MM,IDFC Banking & PSU Debt Fund-Regular Plan- Annual Dividend Payout,INF194K015M6
95,F00000SQOT,IDFC Banking & PSU Debt Fund-Regular Plan- Daily Dividend Reinvestment,INF194KA1JC5
96,F00000Z8DB,IDFC Banking & PSU Debt Fund Regular Dividend Reinvestment,INF194K01SO4
97,F00000Z8DC,IDFC Banking & PSU Debt Fund-Regular Plan- Fortnightly Dividend Reinvestment,INF194K016M4
98,F00000PN5I,IDFC Banking & PSU Debt Fund Regular Growth,INF194K01SN6
99,F00000Z8DD,IDFC Banking & PSU Debt Fund-Regular Plan- Monthly Dividend Reinvestment,INF194K017M2
100,F00000PPZM,IDFC Banking & PSU Debt Fund-Regular Plan- Quarterly Dividend Payout,INF194K014M9
101,F00000PCB7,Invesco India Banking & PSU Debt Fund - Daily Dividend Reinvestment,INF205K01JX8
102,F00000PD91,Invesco India Banking & PSU Debt Fund - Direct Plan Daily Dividend Reinvestment,INF205K01KS6
103,F00000PE41,Invesco India Banking & PSU Debt Fund - Direct Plan - Growth,INF205K01KT4
104,F00000PD93,Invesco India Banking & PSU Debt Fund - Direct Plan Monthly Dividend Payout,INF205K01KU2
105,F00000PCB8,Invesco India Banking & PSU Debt Fund - Growth,INF205K01JV2
106,F00000PCH6,Invesco India Banking & PSU Debt Fund - Monthly Dividend Payout,INF205K01JW0
107,F00000Z8OA,L&T Banking & PSU Debt fund Direct Plan Monthly Dividend Reinvestment Option,INF917K01HI3
108,F000001AO6,L&T Banking & PSU Debt fund Monthly Dividend Payout Option,INF677K01AJ6
109,F00000PD0I,L&T Banking & PSU Debt fund Direct Plan Daily Dividend Reinvestment Option,INF917K01HL7
110,F00000PD0H,L&T Banking & PSU Debt fund Direct Plan Growth Option,INF917K01HH5
111,F00000PD0J,L&T Banking & PSU Debt fund Direct Plan Weekly Dividend Reinvestment Option,INF917K01HK9
112,F000001AO0,L&T Banking & PSU Debt fund Daily Dividend Reinvestment Option,INF677K01AF4
113,F000001AND,L&T Banking & PSU Debt fund Growth Option,INF677K01AE7
114,F000001AO5,L&T Banking & PSU Debt fund Weekly Dividend Payout Option,INF917K01HM5
115,F00000PEQI,LIC MF Banking & PSU Debt Fund Direct Plan Daily Dividend Payout Option,INF767K01GJ2
116,F00000PD1K,LIC MF Banking & PSU Debt Fund - Direct Plan Growth Option,INF767K01GI4
117,F00000PFXO,LIC MF Banking & PSU Debt Fund Direct Plan Monthly Dividend Payout Option,INF767K01GK0
118,F00000PFXP,LIC MF Banking & PSU Debt Fund Direct Plan Weekly Dividend Payout Option,INF767K01GL8
119,F000000I5R,LIC MF Banking & PSU Debt Fund Daily Dividend Payout,INF767K01519
120,F000000I7F,LIC MF Banking & PSU Debt Fund Growth,INF767K01535
121,F000000I7H,LIC MF Banking & PSU Debt Fund Monthly Dividend Payout,INF767K01543
122,F000000I7I,LIC MF Banking & PSU Debt Fund Weekly Dividend Payout,INF767K01568
123,F00000VTTW,Nippon India Banking & PSU Debt Fund Regular Quarterly Dividend Payout,INF204KA1T98
124,F00000VTTZ,Nippon India Banking & PSU Debt Fund Direct Dividend Payout,INF204KA1U79
125,F00000VTTY,Nippon India Banking & PSU Debt Fund Direct Bonus,
126,F00000VTTX,Nippon India Banking & PSU Debt Fund Direct Growth,INF204KA1U53
127,F00000VTU1,Nippon India Banking & PSU Debt Fund Direct Monthly Dividend Payout,INF204KA1V37
128,F00000VTU2,Nippon India Banking & PSU Debt Fund Direct Quarterly Dividend Payout,INF204KA1U95
129,F00000VTU0,Nippon India Banking & PSU Debt Fund Direct Weekly Dividend Payout,INF204KA1V11
130,F00000VTTT,Nippon India Banking & PSU Debt Fund Regular Dividend Payout,INF204KA1T72
132,F00000VTTR,Nippon India Banking & PSU Debt Fund Regular Growth,INF204KA1T56
133,F00000VTTV,Nippon India Banking & PSU Debt Fund Regular Monthly Dividend Payout,INF204KA1U38
134,F00000VTTU,Nippon India Banking & PSU Debt Fund Regular Weekly Dividend Payout,INF204KA1U12
135,F00000TXM8,SBI Banking and PSU Fund Direct Plan Weekly Dividend Payout,INF200K01V24
136,F00000PDTW,SBI Banking and PSU Fund Direct Plan Daily Dividend Reinvestment,INF200K01V16
137,F00000PDTX,SBI Banking and PSU Fund Direct Plan Growth,INF200K01V08
138,F00000UDHC,SBI Banking and PSU Fund Direct Plan Monthly Dividend Payout,INF200K01V57
139,F000005FQ4,SBI Banking and PSU Fund Regular Plan Growth,INF200K01U41
140,F000005FQW,SBI Banking and PSU Fund Regular Plan Daily Dividend Reinvestment,INF200K01U58
141,F000005FQY,SBI Banking and PSU Fund Regular Plan Monthly Dividend Payout,INF200K01U90
142,F000005FQV,SBI Banking and PSU Fund Regular Plan Weekly Dividend Payout,INF200K01U66
153,F00000Z99F,UTI Banking & PSU Debt Fund Direct Plan Annual Dividend Reinvestment Option,INF789FA1V11
155,F00000VDD6,UTI Banking & PSU Debt Fund Flexi Dividend Payout Option Direct,INF789FA1V29
157,F00000Y4YF,UTI Banking & PSU Debt Fund Regular Plan Annual Dividend Payout Option,
158,F00000XMCS,UTI Banking & PSU Debt Fund Flexi Dividend Payout Option,INF789FA1U61
159,F00000XAPX,UTI Banking & PSU Debt Fund Regular Plan Half Yearly Dividend Payout Option,INF789FA1U20
161,F00000SJVX,UTI Banking & PSU Debt Fund Direct Growth,INF789F015Z6
162,F00000SJVV,UTI Banking & PSU Debt Fund Direct Quarterly Dividend Payout,INF789F016Z4
163,F00000SJVY,UTI Banking & PSU Debt Fund Regular Growth,INF789F014Z9
164,F00000SJVW,UTI Banking & PSU Debt Fund Regular Dividend Payout,INF789F012Z3
165,F00000Z37J,Axis Corporate Debt Fund Direct Daily Dividend Reinvestment,INF846K01ZN6
166,F00000Z37H,Axis Corporate Debt Fund Direct Growth,INF846K01ZM8
167,F00000Z37L,Axis Corporate Debt Fund Direct Monthly Dividend Payout,INF846K01ZQ9
168,F00000Z37M,Axis Corporate Debt Fund Direct Regular Dividend Payout,INF846K01ZS5
169,F00000Z37K,Axis Corporate Debt Fund Direct Weekly Dividend Payout,INF846K01ZO4
170,F00000Z37B,Axis Corporate Debt Fund Regular Daily Dividend Reinvestment,INF846K01ZV9
171,F00000Z378,Axis Corporate Debt Fund Regular Growth,INF846K01ZU1
172,F00000Z37F,Axis Corporate Debt Fund Regular Monthly Dividend Payout,INF846K01ZY3
173,F00000Z37G,Axis Corporate Debt Fund Regular Dividend Payout,INF846K01A03
174,F00000Z37D,Axis Corporate Debt Fund Regular Weekly Dividend Payout,INF846K01ZW7
175,F00000NS2F,BNP Paribas Corporate Bond Fund Annual Dividend Payout,INF251K01EU9
